LED Colour: 1. Red	Supply voltage: 5V	 Forward op voltage: 1.8V	 Ideal resistance:128Ω	 E24 resistance:130Ω
LED Colour: 7. Violet	Supply voltage: 15V	 Forward op voltage: 4V	 Ideal resistance:440Ω	 E24 resistance:470Ω

LED Colour: 7. Violet	Supply voltage: 17.5V	 Forward op voltage: 4V	 Ideal resistance:540Ω	 E24 resistance:560Ω

LED Colour: 7. Violet	Supply voltage: 20V	 Forward op voltage: 4V	 Ideal resistance:640Ω	 E24 resistance:680Ω

LED Colour: 7. Violet	Supply voltage: 22.5V	 Forward op voltage: 4V	 Ideal resistance:740Ω	 E24 resistance:750Ω

LED Colour: 7. Violet	Supply voltage: 25V	 Forward op voltage: 4V	 Ideal resistance:840Ω	 E24 resistance:910Ω




